"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL264833";"";"None";"611.71";"1";"4.25";"50";"N#Cc1ccc2[nH]c(C(Cc3ccc(C4CC(=O)NS4(=O)=O)cc3)NS(=O)(=O)c3ccc(-c4ccccc4)cc3)nc2c1";"IC50";"'='";"53.0";"nM";"7.28";"";"";"UO_0000065";"11.89";"0.23";"3.03";"4.49";"0";"CHEMBL870503";"Inhibition of PTP1B by pNPP assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL335";"Tyrosine-protein phosphatase non-receptor type 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138056";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";"";"53.0"
"CHEMBL223067";"";"None";"292.29";"0";"4.21";"8b";"COc1ccc(-c2cc(=O)c3cc4ccoc4cc3o2)cc1";"IC50";"'='";"68800.0";"nM";"4.16";"";"";"UO_0000065";"14.24";"0.26";"-0.05";"7.92";"0";"CHEMBL918283";"Inhibition of PTP1B in presence of 0.01% Triton X-100";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL335";"Tyrosine-protein phosphatase non-receptor type 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144560";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"68.8"
"CHEMBL388814";"";"None";"262.26";"0";"4.21";"8a";"O=c1cc(-c2ccccc2)oc2cc3occc3cc12";"IC50";"'='";"61300.0";"nM";"4.21";"";"";"UO_0000065";"16.06";"0.29";"0.00";"9.72";"0";"CHEMBL918283";"Inhibition of PTP1B in presence of 0.01% Triton X-100";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL335";"Tyrosine-protein phosphatase non-receptor type 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144560";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"61.3"
"CHEMBL4089985";"";"None";"372.51";"1";"6.12";"3a";"CC(=O)O[C@@H](C/C(C)=C/CCc1ccoc1)C[C@@H](C)CCCc1ccoc1";"IC50";"'='";"9200.0";"nM";"5.04";"";"";"UO_0000065";"13.52";"0.25";"-1.08";"9.58";"0";"CHEMBL3997391";"Inhibition of recombinant human PTP1B (1 to 322 residues) expressed in Escherichia coli using pNPP as substrate preincubated for 10 mins followed by substrate addition measured after 30 mins";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL335";"Tyrosine-protein phosphatase non-receptor type 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3994656";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";"";"9.2"
"CHEMBL4088099";"";"None";"420.46";"1";"5.27";"23";"CC(C)=CCc1c(O)cc2occ(-c3cc(O)c4c(c3)C=CC(C)(C)O4)c(=O)c2c1O";"IC50";"'='";"1480.0";"nM";"5.83";"";"";"UO_0000065";"13.87";"0.26";"0.56";"5.82";"0";"CHEMBL4035962";"Inhibition of recombinant human PTP1B using p-nitrophenyl phosphate as substrate after 30 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL335";"Tyrosine-protein phosphatase non-receptor type 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4033705";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";"";"";"";"1.48"
"CHEMBL3810262";"";"None";"422.48";"1";"5.30";"35";"CC(C)=CCc1c(O)ccc(-c2coc3c(CC=C(C)C)c(O)cc(O)c3c2=O)c1O";"IC50";"'='";"500.0";"nM";"6.30";"";"";"UO_0000065";"14.91";"0.28";"1.00";"5.67";"0";"CHEMBL4035962";"Inhibition of recombinant human PTP1B using p-nitrophenyl phosphate as substrate after 30 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL335";"Tyrosine-protein phosphatase non-receptor type 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4033705";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";"";"";"";"0.5"
"CHEMBL372973";"";"None";"541.47";"1";"3.77";"4";"O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccccc2)Cc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1";"IC50";"'='";"600.0";"nM";"6.22";"";"";"UO_0000065";"11.49";"0.24";"2.45";"4.40";"0";"CHEMBL880579";"Inhibitory activity against protein tyrosine phosphatase 1B using O-methyl fluorescein monophosphate";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL335";"Tyrosine-protein phosphatase non-receptor type 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141064";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"0.6"
"CHEMBL4094529";"";"None";"435.42";"1";"5.48";"5o";"COC(=O)c1scc(-c2ccc(NC(=O)c3ccc(C(F)(F)F)cc3)cc2)c1OC";"IC50";"'='";"14790.0";"nM";"4.83";"";"";"UO_0000065";"11.09";"0.22";"-0.65";"7.47";"0";"CHEMBL4036403";"Inhibition of recombinant PTP1B (unknown origin) using pNPP substrate";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL335";"Tyrosine-protein phosphatase non-receptor type 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4033727";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";"";"14.79"
"CHEMBL4090200";"";"None";"514.32";"2";"6.24";"5k";"COC(=O)c1scc(-c2ccc(NC(=O)c3ccc(C(F)(F)F)cc3Br)cc2)c1OC";"IC50";"'='";"16520.0";"nM";"4.78";"";"";"UO_0000065";"9.30";"0.21";"-1.46";"7.40";"0";"CHEMBL4036403";"Inhibition of recombinant PTP1B (unknown origin) using pNPP substrate";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL335";"Tyrosine-protein phosphatase non-receptor type 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4033727";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";"";"16.52"
"CHEMBL4074642";"";"None";"511.31";"2";"5.21";"5d";"COC(=O)c1scc(-c2ccc(NC(=O)c3cc(I)ccc3F)cc2)c1OC";"IC50";"'='";"20560.0";"nM";"4.69";"";"";"UO_0000065";"9.17";"0.23";"-0.52";"7.25";"0";"CHEMBL4036403";"Inhibition of recombinant PTP1B (unknown origin) using pNPP substrate";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL335";"Tyrosine-protein phosphatase non-receptor type 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4033727";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";"";"20.56"
